Age,Weight,Height,Activity Level,Gender,Basic Metabolic Rate,BMI,Diet Breakfast,Diet Lunch,Diet Dinner,Snacks
37,114.5,152.4,Sedentary,Other,1751.5,49.3,Eggs & Toast_450_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
61,59.3,185.1,Moderately Active,Male,1449.875,17.3,Smoothie_300_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
26,90.1,186.7,Extremely Active,Male,1942.875,25.8,Yogurt & Fruit_400_Calories,Salad_300_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
50,87.5,189.9,Extremely Active,Other,1650.875,24.3,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
35,61.3,175.8,Lightly Active,Other,1375.75,19.8,Oatmeal_350_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
23,105.5,178.7,Very Active,Other,1895.875,33.0,Eggs & Toast_450_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
78,52.4,177.5,Lightly Active,Male,1248.375,16.6,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
54,55.5,172.3,Sedentary,Other,1200.875,18.7,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
19,109.2,177.4,Very Active,Female,1944.75,34.7,Yogurt & Fruit_400_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
79,74.2,180.7,Very Active,Female,1315.375,22.7,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
47,118.9,150.6,Very Active,Male,1900.25,52.4,Eggs & Toast_450_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
23,66.5,199.2,Extremely Active,Male,1800.0,16.8,Oatmeal_350_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
34,113.0,171.5,Lightly Active,Male,2036.875,38.4,Smoothie_300_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
56,90.2,180.0,Sedentary,Female,1586.0,27.8,Oatmeal_350_Calories,Salad_300_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
74,77.5,159.3,Lightly Active,Other,1239.625,30.5,Oatmeal_350_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
58,103.9,187.0,Very Active,Female,1756.75,29.7,Oatmeal_350_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
40,108.8,170.1,Sedentary,Male,1956.125,37.6,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
48,71.9,169.5,Moderately Active,Other,1377.375,25.0,Oatmeal_350_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
37,83.4,181.6,Lightly Active,Other,1623.0,25.3,Smoothie_300_Calories,Pasta_650_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
22,97.3,151.4,Moderately Active,Female,1648.25,42.4,Smoothie_300_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
38,98.9,162.8,Sedentary,Female,1655.5,37.3,Eggs & Toast_450_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
60,71.0,194.4,Moderately Active,Male,1630.0,18.8,Oatmeal_350_Calories,Stir Fry_600_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
28,56.5,186.9,Extremely Active,Male,1598.125,16.2,Eggs & Toast_450_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
77,77.4,183.6,Sedentary,Male,1541.5,23.0,Smoothie_300_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
21,74.1,171.5,Extremely Active,Female,1546.875,25.2,Eggs & Toast_450_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
40,56.3,164.2,Very Active,Female,1228.25,20.9,Eggs & Toast_450_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
78,77.5,191.0,Sedentary,Male,1583.75,21.2,Oatmeal_350_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Chips_300_Calories
55,90.0,184.6,Very Active,Other,1617.75,26.4,Oatmeal_350_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
76,119.7,180.5,Lightly Active,Female,1784.125,36.7,Oatmeal_350_Calories,Stir Fry_600_Calories,Beef Stew_750_Calories,Chips_300_Calories
47,103.0,150.5,Extremely Active,Female,1574.625,45.5,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
59,73.1,160.3,Extremely Active,Female,1276.875,28.4,Eggs & Toast_450_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
58,79.1,162.0,Extremely Active,Female,1352.5,30.1,Smoothie_300_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Fruit_120_Calories
78,58.3,151.2,Extremely Active,Female,977.0,25.5,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
35,106.3,169.7,Moderately Active,Female,1787.625,36.9,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
69,89.6,188.5,Moderately Active,Female,1568.125,25.2,Oatmeal_350_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
58,83.1,168.6,Extremely Active,Other,1433.75,29.2,Oatmeal_350_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
77,81.8,175.5,Sedentary,Male,1534.875,26.6,Oatmeal_350_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
60,66.3,170.4,Moderately Active,Male,1433.0,22.8,Smoothie_300_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
48,69.2,159.6,Very Active,Other,1288.5,27.2,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
47,72.6,192.6,Very Active,Other,1533.75,19.6,Eggs & Toast_450_Calories,Salad_300_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
51,50.1,197.5,Very Active,Male,1485.375,12.8,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
48,87.9,189.5,Extremely Active,Other,1662.375,24.5,Smoothie_300_Calories,Salad_300_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
64,119.3,169.2,Very Active,Other,1769.5,41.7,Eggs & Toast_450_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Fruit_120_Calories
55,73.0,191.8,Lightly Active,Other,1492.75,19.8,Eggs & Toast_450_Calories,Sandwich_500_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
80,83.4,192.6,Moderately Active,Female,1476.75,22.5,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
42,111.6,160.8,Extremely Active,Male,1916.0,43.2,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
34,87.4,163.6,Sedentary,Other,1565.5,32.7,Yogurt & Fruit_400_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
53,91.7,166.7,Sedentary,Male,1698.875,33.0,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
57,75.1,186.2,Very Active,Other,1468.75,21.7,Eggs & Toast_450_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
47,83.3,162.5,Lightly Active,Male,1618.625,31.5,Oatmeal_350_Calories,Salad_300_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
78,86.3,172.0,Sedentary,Other,1387.0,29.2,Smoothie_300_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
19,103.4,151.5,Moderately Active,Female,1724.875,45.1,Smoothie_300_Calories,Sandwich_500_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
41,111.1,172.5,Extremely Active,Female,1823.125,37.3,Oatmeal_350_Calories,Stir Fry_600_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
26,96.5,157.9,Very Active,Male,1826.875,38.7,Eggs & Toast_450_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Fruit_120_Calories
18,81.5,157.1,Extremely Active,Male,1711.875,33.0,Smoothie_300_Calories,Stir Fry_600_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
41,109.1,163.1,Moderately Active,Female,1744.375,41.0,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
55,65.6,187.2,Sedentary,Male,1556.0,18.7,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Chips_300_Calories
65,74.6,171.4,Sedentary,Other,1331.25,25.4,Eggs & Toast_450_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
44,70.2,183.6,Very Active,Female,1468.5,20.8,Eggs & Toast_450_Calories,Salad_300_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
43,79.9,195.6,Extremely Active,Other,1645.5,20.9,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Beef Stew_750_Calories,Fruit_120_Calories
43,102.1,180.9,Sedentary,Other,1775.625,31.2,Eggs & Toast_450_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
24,61.7,177.5,Lightly Active,Male,1611.375,19.6,Oatmeal_350_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
42,111.9,176.5,Extremely Active,Male,2017.125,35.9,Yogurt & Fruit_400_Calories,Salad_300_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
73,89.2,180.7,Moderately Active,Other,1495.375,27.3,Smoothie_300_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Nuts_250_Calories
33,79.6,194.6,Lightly Active,Male,1852.25,21.0,Eggs & Toast_450_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
55,59.2,188.0,Sedentary,Other,1331.0,16.7,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
59,93.0,184.5,Extremely Active,Female,1627.125,27.3,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
35,72.2,162.3,Moderately Active,Male,1566.375,27.4,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
34,101.2,171.7,Moderately Active,Male,1920.125,34.3,Eggs & Toast_450_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
66,118.3,170.9,Sedentary,Other,1760.125,40.5,Yogurt & Fruit_400_Calories,Salad_300_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
61,63.0,199.3,Moderately Active,Other,1409.625,15.9,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
64,52.6,150.6,Moderately Active,Other,986.25,23.2,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
23,64.2,190.8,Lightly Active,Female,1558.5,17.6,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Beef Stew_750_Calories,Chips_300_Calories
72,89.5,177.0,Sedentary,Male,1646.25,28.6,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Beef Stew_750_Calories,Nuts_250_Calories
37,59.2,196.3,Lightly Active,Other,1472.875,15.4,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
65,76.0,182.1,Extremely Active,Other,1412.125,22.9,Oatmeal_350_Calories,Salad_300_Calories,Beef Stew_750_Calories,Nuts_250_Calories
40,63.6,163.6,Moderately Active,Male,1463.5,23.8,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
63,101.0,154.6,Moderately Active,Female,1500.25,42.3,Eggs & Toast_450_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
29,50.2,181.8,Sedentary,Male,1498.25,15.2,Smoothie_300_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
29,52.8,191.0,Moderately Active,Other,1415.75,14.5,Oatmeal_350_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
51,101.2,151.6,Very Active,Other,1543.5,44.0,Eggs & Toast_450_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
25,117.8,163.2,Extremely Active,Male,2078.0,44.2,Oatmeal_350_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
73,91.3,182.0,Lightly Active,Other,1524.5,27.6,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
44,55.2,195.1,Lightly Active,Male,1556.375,14.5,Yogurt & Fruit_400_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
66,105.8,170.2,Very Active,Other,1630.75,36.5,Oatmeal_350_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
25,51.9,156.0,Extremely Active,Male,1374.0,21.3,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
65,64.0,182.4,Very Active,Female,1294.0,19.2,Eggs & Toast_450_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
72,83.2,158.2,Sedentary,Male,1465.75,33.2,Smoothie_300_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
50,91.9,195.1,Lightly Active,Male,1893.375,24.1,Eggs & Toast_450_Calories,Salad_300_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
54,78.2,194.2,Lightly Active,Other,1564.75,20.7,Oatmeal_350_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
36,94.7,153.7,Lightly Active,Female,1566.625,40.1,Smoothie_300_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
41,86.6,187.7,Moderately Active,Male,1839.125,24.6,Smoothie_300_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
39,113.5,167.0,Lightly Active,Female,1822.75,40.7,Smoothie_300_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
80,120.0,150.1,Very Active,Male,1743.125,53.3,Eggs & Toast_450_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
20,101.1,176.3,Sedentary,Male,2017.875,32.5,Oatmeal_350_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
26,56.1,189.6,Very Active,Female,1455.0,15.6,Smoothie_300_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
28,73.1,161.4,Extremely Active,Other,1438.75,28.1,Eggs & Toast_450_Calories,Sandwich_500_Calories,Fish and Rice_700_Calories,Fruit_120_Calories
23,86.5,175.8,Sedentary,Male,1853.75,28.0,Oatmeal_350_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
56,68.4,151.5,Moderately Active,Male,1355.875,29.8,Eggs & Toast_450_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
56,111.2,160.2,Sedentary,Other,1672.25,43.3,Oatmeal_350_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
54,63.8,163.0,Moderately Active,Female,1225.75,24.0,Eggs & Toast_450_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
19,64.3,155.3,Very Active,Other,1357.625,26.7,Yogurt & Fruit_400_Calories,Salad_300_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
71,113.3,192.2,Lightly Active,Male,1984.25,30.7,Eggs & Toast_450_Calories,Pasta_650_Calories,Beef Stew_750_Calories,Fruit_120_Calories
77,96.9,178.6,Sedentary,Female,1539.25,30.4,Smoothie_300_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Fruit_120_Calories
54,93.2,189.7,Moderately Active,Other,1686.625,25.9,Eggs & Toast_450_Calories,Salad_300_Calories,Fish and Rice_700_Calories,Fruit_120_Calories
23,99.5,160.9,Extremely Active,Other,1724.625,38.4,Oatmeal_350_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Nuts_250_Calories
23,65.1,164.1,Extremely Active,Other,1400.625,24.2,Oatmeal_350_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
56,91.0,185.8,Lightly Active,Other,1630.25,26.4,Oatmeal_350_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Nuts_250_Calories
53,98.3,163.2,Very Active,Male,1743.0,36.9,Eggs & Toast_450_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
42,67.9,185.7,Moderately Active,Female,1468.625,19.7,Smoothie_300_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
67,108.8,186.8,Sedentary,Male,1925.5,31.2,Oatmeal_350_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
33,88.8,154.7,Lightly Active,Female,1528.875,37.1,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Beef Stew_750_Calories,Nuts_250_Calories
38,85.2,187.1,Extremely Active,Male,1836.375,24.3,Smoothie_300_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
68,110.3,151.5,Moderately Active,Other,1548.875,48.1,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
27,63.1,188.9,Extremely Active,Other,1515.625,17.7,Smoothie_300_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Chips_300_Calories
73,51.3,154.5,Very Active,Female,952.625,21.5,Eggs & Toast_450_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Nuts_250_Calories
22,103.9,152.3,Lightly Active,Other,1719.875,44.8,Eggs & Toast_450_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
67,65.5,176.7,Very Active,Female,1263.375,21.0,Eggs & Toast_450_Calories,Pasta_650_Calories,Beef Stew_750_Calories,Chips_300_Calories
42,57.9,174.0,Moderately Active,Female,1295.5,19.1,Eggs & Toast_450_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
48,67.7,188.4,Sedentary,Other,1453.5,19.1,Smoothie_300_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
20,61.0,161.6,Very Active,Other,1359.0,23.4,Oatmeal_350_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
37,68.6,196.4,Moderately Active,Female,1567.5,17.8,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
21,56.2,191.0,Extremely Active,Male,1655.75,15.4,Eggs & Toast_450_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
31,83.7,170.4,Moderately Active,Male,1752.0,28.8,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
29,98.6,197.8,Moderately Active,Female,1916.25,25.2,Eggs & Toast_450_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
31,113.4,163.2,Sedentary,Other,1838.0,42.6,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
54,102.2,162.6,Extremely Active,Male,1773.25,38.7,Oatmeal_350_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Fruit_120_Calories
35,57.6,164.5,Very Active,Male,1434.125,21.3,Yogurt & Fruit_400_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
44,87.5,181.0,Very Active,Female,1625.25,26.7,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
24,55.6,159.7,Lightly Active,Male,1439.125,21.8,Eggs & Toast_450_Calories,Pasta_650_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
65,90.1,194.2,Extremely Active,Male,1794.75,23.9,Eggs & Toast_450_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
52,87.0,180.3,Extremely Active,Male,1741.875,26.8,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
39,50.5,197.4,Sedentary,Female,1382.75,13.0,Smoothie_300_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Chips_300_Calories
38,102.8,194.7,Very Active,Male,2059.875,27.1,Oatmeal_350_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Fruit_120_Calories
60,94.9,174.8,Very Active,Female,1580.5,31.1,Eggs & Toast_450_Calories,Salad_300_Calories,Beef Stew_750_Calories,Chips_300_Calories
76,81.8,165.9,Moderately Active,Other,1313.875,29.7,Oatmeal_350_Calories,Stir Fry_600_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
75,114.3,194.9,Very Active,Female,1825.125,30.1,Smoothie_300_Calories,Salad_300_Calories,Beef Stew_750_Calories,Fruit_120_Calories
35,81.7,198.2,Extremely Active,Other,1719.75,20.8,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
55,82.3,193.2,Extremely Active,Male,1760.5,22.0,Oatmeal_350_Calories,Stir Fry_600_Calories,Beef Stew_750_Calories,Nuts_250_Calories
43,61.4,186.7,Lightly Active,Other,1404.875,17.6,Oatmeal_350_Calories,Stir Fry_600_Calories,Beef Stew_750_Calories,Nuts_250_Calories
70,96.5,169.4,Very Active,Other,1512.75,33.6,Yogurt & Fruit_400_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
39,61.8,179.1,Lightly Active,Other,1381.375,19.3,Smoothie_300_Calories,Sandwich_500_Calories,Beef Stew_750_Calories,Fruit_120_Calories
73,71.7,196.8,Extremely Active,Other,1421.0,18.5,Yogurt & Fruit_400_Calories,Salad_300_Calories,Beef Stew_750_Calories,Nuts_250_Calories
54,98.9,183.4,Moderately Active,Female,1704.25,29.4,Oatmeal_350_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Nuts_250_Calories
22,71.4,164.8,Sedentary,Female,1473.0,26.3,Oatmeal_350_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
65,92.2,176.6,Moderately Active,Male,1705.75,29.6,Eggs & Toast_450_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
52,118.4,198.5,Very Active,Other,2003.625,30.0,Oatmeal_350_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
29,53.0,164.0,Very Active,Other,1249.0,19.7,Yogurt & Fruit_400_Calories,Salad_300_Calories,Beef Stew_750_Calories,Chips_300_Calories
52,77.6,188.4,Lightly Active,Male,1698.5,21.9,Yogurt & Fruit_400_Calories,Sandwich_500_Calories,Fish and Rice_700_Calories,Chips_300_Calories
51,113.0,192.1,Sedentary,Other,1914.625,30.6,Smoothie_300_Calories,Salad_300_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
64,91.3,176.5,Lightly Active,Male,1701.125,29.3,Oatmeal_350_Calories,Sandwich_500_Calories,Fish and Rice_700_Calories,Nuts_250_Calories
37,115.9,151.1,Extremely Active,Male,1923.375,50.8,Eggs & Toast_450_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
66,116.5,197.4,Sedentary,Other,1907.75,29.9,Smoothie_300_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Fruit_120_Calories
29,107.9,183.9,Lightly Active,Female,1922.375,31.9,Smoothie_300_Calories,Pasta_650_Calories,Beef Stew_750_Calories,Chips_300_Calories
51,74.4,189.8,Extremely Active,Female,1514.25,20.7,Yogurt & Fruit_400_Calories,Salad_300_Calories,Beef Stew_750_Calories,Protein Bar_200_Calories
